id,date,time,zone,currency,importance,event,actual,forecast,previous
512297,12/12/2024,12:00,poland,PLN,low,Thomson Reuters IPSOS PCSI (MoM)  (Dec),47.18,,49.85
512303,12/12/2024,12:00,türkiye,TRY,low,Turkey Thomson Reuters IPSOS PCSI  (Dec),31.6,,29.8
512291,12/12/2024,12:00,hungary,HUF,low,Thomson Reuters IPSOS PCSI (MoM)  (Dec),33.99,,33.92
512304,12/12/2024,12:00,south africa,ZAR,low,Thomson Reuters IPSOS PCSI (MoM)  (Dec),49.29,,49.37
512298,12/12/2024,12:00,serbia,RSD,low,Serbian Benchmark Interest Rate  (Dec),5.75%,,5.75%
512300,12/12/2024,12:00,serbia,RSD,low,CPI (YoY)  (Nov),4.30%,,4.50%
512299,12/12/2024,12:00,serbia,RSD,low,CPI (MoM)  (Nov),0.30%,,0.60%
513313,12/12/2024,12:30,türkiye,TRY,low,Gross FX Reserves,95.01B,,92.82B
513043,12/12/2024,12:30,türkiye,TRY,low,Net FX Reserves,65.07%,,64.18%
512310,12/12/2024,13:00,mexico,MXN,low,Industrial Production (MoM)  (Oct),-1.2%,-0.2%,0.6%
512309,12/12/2024,13:00,mexico,MXN,low,Industrial Production (YoY)  (Oct),-2.2%,-0.6%,-0.3%
512308,12/12/2024,13:00,brazil,BRL,medium,Retail Sales (MoM)  (Oct),0.4%,-0.2%,0.6%
512311,12/12/2024,13:00,brazil,BRL,medium,Retail Sales (YoY)  (Oct),6.5%,4.8%,2.3%
512936,12/12/2024,13:00,ukraine,UAH,low,Interest Rate Decision,13.50%,,13.00%
513317,12/12/2024,14:00,russia,RUB,low,Central Bank reserves (USD),614.4B,,614.1B
512317,12/12/2024,14:00,russia,RUB,low,Trade Balance  (Oct),9.10B,,12.38B
512319,12/12/2024,14:15,euro zone,EUR,high,Deposit Facility Rate  (Dec),3.00%,3.00%,3.25%
513397,12/12/2024,14:15,euro zone,EUR,medium,ECB Marginal Lending Facility,,,3.65%
513435,12/12/2024,14:15,euro zone,EUR,medium,ECB Monetary Policy Statement,,,
490082,12/12/2024,14:15,euro zone,EUR,high,ECB Interest Rate Decision  (Dec),3.15%,3.15%,3.40%
513320,12/12/2024,14:30,united states,USD,medium,Continuing Jobless Claims,"1,886K","1,880K","1,871K"
512324,12/12/2024,14:30,united states,USD,medium,Core PPI (MoM)  (Nov),0.2%,0.2%,0.3%
512321,12/12/2024,14:30,united states,USD,low,Core PPI (YoY)  (Nov),3.4%,3.2%,3.4%
513322,12/12/2024,14:30,united states,USD,high,Initial Jobless Claims,242K,221K,225K
513321,12/12/2024,14:30,united states,USD,low,Jobless Claims 4-Week Avg.,224.25K,,218.50K
512322,12/12/2024,14:30,united states,USD,high,PPI (MoM)  (Nov),0.4%,0.2%,0.3%
512323,12/12/2024,14:30,united states,USD,low,PPI (YoY)  (Nov),3.0%,2.6%,2.6%
512325,12/12/2024,14:30,united states,USD,low,PPI ex. Food/Energy/Transport (YoY)  (Nov),3.5%,,3.5%
512320,12/12/2024,14:30,united states,USD,low,PPI ex. Food/Energy/Transport (MoM)  (Nov),0.1%,0.2%,0.3%
512326,12/12/2024,14:30,canada,CAD,medium,Building Permits (MoM)  (Oct),-3.1%,-4.8%,11.5%
513398,12/12/2024,14:45,euro zone,EUR,high,ECB Press Conference,,,
513631,12/12/2024,15:00,angola,AOA,low,CPI (MoM)  (Nov),1.61%,,1.55%
513630,12/12/2024,15:00,angola,AOA,low,CPI (YoY)  (Nov),28.41%,,29.17%
513648,12/12/2024,16:00,denmark,DKK,low,Current Account Rate,3,,3
513649,12/12/2024,16:00,denmark,DKK,low,Discount Rate,3,,3
513647,12/12/2024,16:00,denmark,DKK,low,Lending Rate,2.75%,,3.25%
513400,12/12/2024,16:15,euro zone,EUR,medium,ECB President Lagarde Speaks,,,
513323,12/12/2024,16:30,united states,USD,low,Natural Gas Storage,-190B,-175B,-30B
513646,12/12/2024,16:30,denmark,DKK,low,Cbank CoD Rate,3,,3
513401,12/12/2024,17:30,united states,USD,low,4-Week Bill Auction,4.240%,,4.400%
513402,12/12/2024,17:30,united states,USD,low,8-Week Bill Auction,4.260%,,4.350%
513403,12/12/2024,19:00,united states,USD,high,30-Year Bond Auction,4.535%,,4.608%
512339,12/12/2024,22:00,south korea,KRW,low,Export Price Index (YoY)  (Nov),7.0%,,2.0%
512338,12/12/2024,22:00,south korea,KRW,low,Import Price Index (YoY)  (Nov),3.0%,,-2.5%
513251,12/12/2024,22:30,united states,USD,medium,Fed's Balance Sheet,"6,897B",,"6,896B"
513252,12/12/2024,22:30,united states,USD,low,Reserve Balances with Federal Reserve Banks,3.274T,,3.216T
512340,12/12/2024,22:30,new zealand,NZD,medium,Business NZ PMI  (Nov),45.5,,45.8
512342,12/12/2024,22:45,new zealand,NZD,low,External Migration & Visitors  (Oct),6.30%,,0.90%
512341,12/12/2024,22:45,new zealand,NZD,low,Permanent/Long-Term Migration  (Oct),"2,790",,"2,190"
513440,12/12/2024,22:45,new zealand,NZD,low,Visitor Arrivals (MoM)  (Oct),0.6%,,1.3%
229,13/12/2024,All Day,malta,,,Malta - Republic Day,,,
512343,13/12/2024,00:00,peru,PEN,low,Interest Rate Decision  (Dec),5.00%,5.00%,5.00%
512346,13/12/2024,00:50,japan,JPY,medium,Tankan All Big Industry CAPEX  (Q4),11.3%,9.6%,10.6%
512345,13/12/2024,00:50,japan,JPY,low,Tankan All Small Industry CAPEX  (Q4),4.0%,,2.6%
512351,13/12/2024,00:50,japan,JPY,medium,Tankan Big Manufacturing Outlook Index  (Q4),13,,14
